,startTime,percentRenewable
0,2020-01-01 00:00:00,49
1,2020-01-01 01:00:00,50
2,2020-01-01 02:00:00,50
3,2020-01-01 03:00:00,51
4,2020-01-01 04:00:00,52
5,2020-01-01 05:00:00,53
6,2020-01-01 06:00:00,54
7,2020-01-01 07:00:00,55
8,2020-01-01 08:00:00,55
9,2020-01-01 09:00:00,55
10,2020-01-01 10:00:00,55
11,2020-01-01 11:00:00,56
12,2020-01-01 12:00:00,56
13,2020-01-01 13:00:00,56
14,2020-01-01 14:00:00,57
15,2020-01-01 15:00:00,58
16,2020-01-01 16:00:00,58
17,2020-01-01 17:00:00,57
18,2020-01-01 18:00:00,57
19,2020-01-01 19:00:00,57
20,2020-01-01 20:00:00,56
21,2020-01-01 21:00:00,56
22,2020-01-01 22:00:00,55
23,2020-01-01 23:00:00,54
24,2020-01-02 00:00:00,53
25,2020-01-02 01:00:00,53
26,2020-01-02 02:00:00,53
27,2020-01-02 03:00:00,53
28,2020-01-02 04:00:00,54
29,2020-01-02 05:00:00,56
30,2020-01-02 06:00:00,58
31,2020-01-02 07:00:00,59
32,2020-01-02 08:00:00,59
33,2020-01-02 09:00:00,60
34,2020-01-02 10:00:00,60
35,2020-01-02 11:00:00,60
36,2020-01-02 12:00:00,59
37,2020-01-02 13:00:00,60
38,2020-01-02 14:00:00,60
39,2020-01-02 15:00:00,61
40,2020-01-02 16:00:00,61
41,2020-01-02 17:00:00,60
42,2020-01-02 18:00:00,60
43,2020-01-02 19:00:00,59
44,2020-01-02 20:00:00,58
45,2020-01-02 21:00:00,57
46,2020-01-02 22:00:00,55
47,2020-01-02 23:00:00,54
48,2020-01-03 00:00:00,54
49,2020-01-03 01:00:00,53
50,2020-01-03 02:00:00,53
51,2020-01-03 03:00:00,53
52,2020-01-03 04:00:00,55
53,2020-01-03 05:00:00,56
54,2020-01-03 06:00:00,58
55,2020-01-03 07:00:00,59
56,2020-01-03 08:00:00,58
57,2020-01-03 09:00:00,59
58,2020-01-03 10:00:00,59
59,2020-01-03 11:00:00,59
60,2020-01-03 12:00:00,59
61,2020-01-03 13:00:00,60
62,2020-01-03 14:00:00,60
63,2020-01-03 15:00:00,61
64,2020-01-03 16:00:00,61
65,2020-01-03 17:00:00,60
66,2020-01-03 18:00:00,59
67,2020-01-03 19:00:00,59
68,2020-01-03 20:00:00,58
69,2020-01-03 21:00:00,57
70,2020-01-03 22:00:00,56
71,2020-01-03 23:00:00,56
72,2020-01-04 00:00:00,55
73,2020-01-04 01:00:00,54
74,2020-01-04 02:00:00,54
75,2020-01-04 03:00:00,53
76,2020-01-04 04:00:00,54
77,2020-01-04 05:00:00,54
78,2020-01-04 06:00:00,55
79,2020-01-04 07:00:00,56
80,2020-01-04 08:00:00,57
81,2020-01-04 09:00:00,58
82,2020-01-04 10:00:00,58
83,2020-01-04 11:00:00,58
84,2020-01-04 12:00:00,58
85,2020-01-04 13:00:00,58
86,2020-01-04 14:00:00,58
87,2020-01-04 15:00:00,60
88,2020-01-04 16:00:00,61
89,2020-01-04 17:00:00,61
90,2020-01-04 18:00:00,61
91,2020-01-04 19:00:00,59
92,2020-01-04 20:00:00,58
93,2020-01-04 21:00:00,56
94,2020-01-04 22:00:00,54
95,2020-01-04 23:00:00,53
96,2020-01-05 00:00:00,51
97,2020-01-05 01:00:00,50
98,2020-01-05 02:00:00,50
99,2020-01-05 03:00:00,50
100,2020-01-05 04:00:00,50
101,2020-01-05 05:00:00,51
102,2020-01-05 06:00:00,54
103,2020-01-05 07:00:00,56
104,2020-01-05 08:00:00,57
105,2020-01-05 09:00:00,58
106,2020-01-05 10:00:00,58
107,2020-01-05 11:00:00,59
108,2020-01-05 12:00:00,60
109,2020-01-05 13:00:00,61
110,2020-01-05 14:00:00,61
111,2020-01-05 15:00:00,62
112,2020-01-05 16:00:00,63
113,2020-01-05 17:00:00,63
114,2020-01-05 18:00:00,62
115,2020-01-05 19:00:00,61
116,2020-01-05 20:00:00,60
117,2020-01-05 21:00:00,58
118,2020-01-05 22:00:00,55
119,2020-01-05 23:00:00,54
120,2020-01-06 00:00:00,53
121,2020-01-06 01:00:00,52
122,2020-01-06 02:00:00,52
123,2020-01-06 03:00:00,52
124,2020-01-06 04:00:00,53
125,2020-01-06 05:00:00,54
126,2020-01-06 06:00:00,57
127,2020-01-06 07:00:00,58
128,2020-01-06 08:00:00,60
129,2020-01-06 09:00:00,59
130,2020-01-06 10:00:00,59
131,2020-01-06 11:00:00,59
132,2020-01-06 12:00:00,59
133,2020-01-06 13:00:00,59
134,2020-01-06 14:00:00,60
135,2020-01-06 15:00:00,60
136,2020-01-06 16:00:00,60
137,2020-01-06 17:00:00,60
138,2020-01-06 18:00:00,59
139,2020-01-06 19:00:00,59
140,2020-01-06 20:00:00,58
141,2020-01-06 21:00:00,55
142,2020-01-06 22:00:00,54
143,2020-01-06 23:00:00,53
144,2020-01-07 00:00:00,51
145,2020-01-07 01:00:00,51
146,2020-01-07 02:00:00,51
147,2020-01-07 03:00:00,51
148,2020-01-07 04:00:00,56
149,2020-01-07 05:00:00,60
150,2020-01-07 06:00:00,61
151,2020-01-07 07:00:00,61
152,2020-01-07 08:00:00,61
153,2020-01-07 09:00:00,61
154,2020-01-07 10:00:00,61
155,2020-01-07 11:00:00,61
156,2020-01-07 12:00:00,61
157,2020-01-07 13:00:00,61
158,2020-01-07 14:00:00,61
159,2020-01-07 15:00:00,62
160,2020-01-07 16:00:00,62
161,2020-01-07 17:00:00,63
162,2020-01-07 18:00:00,63
163,2020-01-07 19:00:00,61
164,2020-01-07 20:00:00,60
165,2020-01-07 21:00:00,59
166,2020-01-07 22:00:00,57
167,2020-01-07 23:00:00,56
168,2020-01-08 00:00:00,55
169,2020-01-08 01:00:00,54
170,2020-01-08 02:00:00,54
171,2020-01-08 03:00:00,54
172,2020-01-08 04:00:00,57
173,2020-01-08 05:00:00,60
174,2020-01-08 06:00:00,63
175,2020-01-08 07:00:00,63
176,2020-01-08 08:00:00,63
177,2020-01-08 09:00:00,63
178,2020-01-08 10:00:00,63
179,2020-01-08 11:00:00,63
180,2020-01-08 12:00:00,62
181,2020-01-08 13:00:00,63
182,2020-01-08 14:00:00,63
183,2020-01-08 15:00:00,63
184,2020-01-08 16:00:00,63
185,2020-01-08 17:00:00,63
186,2020-01-08 18:00:00,62
187,2020-01-08 19:00:00,62
188,2020-01-08 20:00:00,61
189,2020-01-08 21:00:00,59
190,2020-01-08 22:00:00,58
191,2020-01-08 23:00:00,58
192,2020-01-09 00:00:00,57
193,2020-01-09 01:00:00,57
194,2020-01-09 02:00:00,57
195,2020-01-09 03:00:00,57
196,2020-01-09 04:00:00,59
197,2020-01-09 05:00:00,61
198,2020-01-09 06:00:00,61
199,2020-01-09 07:00:00,61
200,2020-01-09 08:00:00,61
201,2020-01-09 09:00:00,60
202,2020-01-09 10:00:00,60
203,2020-01-09 11:00:00,59
204,2020-01-09 12:00:00,59
205,2020-01-09 13:00:00,59
206,2020-01-09 14:00:00,59
207,2020-01-09 15:00:00,59
208,2020-01-09 16:00:00,60
209,2020-01-09 17:00:00,60
210,2020-01-09 18:00:00,60
211,2020-01-09 19:00:00,59
212,2020-01-09 20:00:00,59
213,2020-01-09 21:00:00,57
214,2020-01-09 22:00:00,55
215,2020-01-09 23:00:00,55
216,2020-01-10 00:00:00,54
217,2020-01-10 01:00:00,54
218,2020-01-10 02:00:00,55
219,2020-01-10 03:00:00,56
220,2020-01-10 04:00:00,59
221,2020-01-10 05:00:00,60
222,2020-01-10 06:00:00,61
223,2020-01-10 07:00:00,61
224,2020-01-10 08:00:00,61
225,2020-01-10 09:00:00,61
226,2020-01-10 10:00:00,61
227,2020-01-10 11:00:00,61
228,2020-01-10 12:00:00,61
229,2020-01-10 13:00:00,61
230,2020-01-10 14:00:00,61
231,2020-01-10 15:00:00,61
232,2020-01-10 16:00:00,61
233,2020-01-10 17:00:00,61
234,2020-01-10 18:00:00,61
235,2020-01-10 19:00:00,61
236,2020-01-10 20:00:00,60
237,2020-01-10 21:00:00,60
238,2020-01-10 22:00:00,58
239,2020-01-10 23:00:00,56
240,2020-01-11 00:00:00,56
241,2020-01-11 01:00:00,55
242,2020-01-11 02:00:00,56
243,2020-01-11 03:00:00,57
244,2020-01-11 04:00:00,58
245,2020-01-11 05:00:00,59
246,2020-01-11 06:00:00,59
247,2020-01-11 07:00:00,60
248,2020-01-11 08:00:00,61
249,2020-01-11 09:00:00,61
250,2020-01-11 10:00:00,61
251,2020-01-11 11:00:00,61
252,2020-01-11 12:00:00,60
253,2020-01-11 13:00:00,61
254,2020-01-11 14:00:00,61
255,2020-01-11 15:00:00,61
256,2020-01-11 16:00:00,62
257,2020-01-11 17:00:00,62
258,2020-01-11 18:00:00,60
259,2020-01-11 19:00:00,59
260,2020-01-11 20:00:00,59
261,2020-01-11 21:00:00,58
262,2020-01-11 22:00:00,57
263,2020-01-11 23:00:00,56
264,2020-01-12 00:00:00,54
265,2020-01-12 01:00:00,54
266,2020-01-12 02:00:00,53
267,2020-01-12 03:00:00,53
268,2020-01-12 04:00:00,53
269,2020-01-12 05:00:00,53
270,2020-01-12 06:00:00,53
271,2020-01-12 07:00:00,54
272,2020-01-12 08:00:00,54
273,2020-01-12 09:00:00,55
274,2020-01-12 10:00:00,56
275,2020-01-12 11:00:00,56
276,2020-01-12 12:00:00,56
277,2020-01-12 13:00:00,56
278,2020-01-12 14:00:00,57
279,2020-01-12 15:00:00,58
280,2020-01-12 16:00:00,59
281,2020-01-12 17:00:00,59
282,2020-01-12 18:00:00,58
283,2020-01-12 19:00:00,57
284,2020-01-12 20:00:00,57
285,2020-01-12 21:00:00,56
286,2020-01-12 22:00:00,55
287,2020-01-12 23:00:00,53
288,2020-01-13 00:00:00,53
289,2020-01-13 01:00:00,54
290,2020-01-13 02:00:00,54
291,2020-01-13 03:00:00,55
292,2020-01-13 04:00:00,59
293,2020-01-13 05:00:00,61
294,2020-01-13 06:00:00,61
295,2020-01-13 07:00:00,62
296,2020-01-13 08:00:00,62
297,2020-01-13 09:00:00,62
298,2020-01-13 10:00:00,62
299,2020-01-13 11:00:00,61
300,2020-01-13 12:00:00,62
301,2020-01-13 13:00:00,62
302,2020-01-13 14:00:00,62
303,2020-01-13 15:00:00,62
304,2020-01-13 16:00:00,62
305,2020-01-13 17:00:00,62
306,2020-01-13 18:00:00,62
307,2020-01-13 19:00:00,62
308,2020-01-13 20:00:00,61
309,2020-01-13 21:00:00,60
310,2020-01-13 22:00:00,57
311,2020-01-13 23:00:00,55
312,2020-01-14 00:00:00,53
313,2020-01-14 01:00:00,52
314,2020-01-14 02:00:00,52
315,2020-01-14 03:00:00,53
316,2020-01-14 04:00:00,56
317,2020-01-14 05:00:00,60
318,2020-01-14 06:00:00,63
319,2020-01-14 07:00:00,64
320,2020-01-14 08:00:00,64
321,2020-01-14 09:00:00,64
322,2020-01-14 10:00:00,64
323,2020-01-14 11:00:00,64
324,2020-01-14 12:00:00,64
325,2020-01-14 13:00:00,64
326,2020-01-14 14:00:00,64
327,2020-01-14 15:00:00,63
328,2020-01-14 16:00:00,64
329,2020-01-14 17:00:00,63
330,2020-01-14 18:00:00,62
331,2020-01-14 19:00:00,62
332,2020-01-14 20:00:00,60
333,2020-01-14 21:00:00,57
334,2020-01-14 22:00:00,55
335,2020-01-14 23:00:00,53
336,2020-01-15 00:00:00,51
337,2020-01-15 01:00:00,52
338,2020-01-15 02:00:00,51
339,2020-01-15 03:00:00,52
340,2020-01-15 04:00:00,56
341,2020-01-15 05:00:00,59
342,2020-01-15 06:00:00,61
343,2020-01-15 07:00:00,62
344,2020-01-15 08:00:00,61
345,2020-01-15 09:00:00,61
346,2020-01-15 10:00:00,60
347,2020-01-15 11:00:00,61
348,2020-01-15 12:00:00,61
349,2020-01-15 13:00:00,62
350,2020-01-15 14:00:00,63
351,2020-01-15 15:00:00,62
352,2020-01-15 16:00:00,62
353,2020-01-15 17:00:00,62
354,2020-01-15 18:00:00,62
355,2020-01-15 19:00:00,61
356,2020-01-15 20:00:00,60
357,2020-01-15 21:00:00,58
358,2020-01-15 22:00:00,56
359,2020-01-15 23:00:00,54
360,2020-01-16 00:00:00,53
361,2020-01-16 01:00:00,53
362,2020-01-16 02:00:00,53
363,2020-01-16 03:00:00,53
364,2020-01-16 04:00:00,57
365,2020-01-16 05:00:00,59
366,2020-01-16 06:00:00,61
367,2020-01-16 07:00:00,62
368,2020-01-16 08:00:00,62
369,2020-01-16 09:00:00,62
370,2020-01-16 10:00:00,61
371,2020-01-16 11:00:00,61
372,2020-01-16 12:00:00,62
373,2020-01-16 13:00:00,62
374,2020-01-16 14:00:00,62
375,2020-01-16 15:00:00,63
376,2020-01-16 16:00:00,62
377,2020-01-16 17:00:00,63
378,2020-01-16 18:00:00,62
379,2020-01-16 19:00:00,62
380,2020-01-16 20:00:00,61
381,2020-01-16 21:00:00,60
382,2020-01-16 22:00:00,59
383,2020-01-16 23:00:00,57
384,2020-01-17 00:00:00,56
385,2020-01-17 01:00:00,55
386,2020-01-17 02:00:00,55
387,2020-01-17 03:00:00,56
388,2020-01-17 04:00:00,59
389,2020-01-17 05:00:00,62
390,2020-01-17 06:00:00,63
391,2020-01-17 07:00:00,63
392,2020-01-17 08:00:00,62
393,2020-01-17 09:00:00,62
394,2020-01-17 10:00:00,62
395,2020-01-17 11:00:00,62
396,2020-01-17 12:00:00,62
397,2020-01-17 13:00:00,62
398,2020-01-17 14:00:00,62
399,2020-01-17 15:00:00,62
400,2020-01-17 16:00:00,62
401,2020-01-17 17:00:00,62
402,2020-01-17 18:00:00,61
403,2020-01-17 19:00:00,60
404,2020-01-17 20:00:00,59
405,2020-01-17 21:00:00,59
406,2020-01-17 22:00:00,57
407,2020-01-17 23:00:00,51
408,2020-01-18 00:00:00,49
409,2020-01-18 01:00:00,48
410,2020-01-18 02:00:00,49
411,2020-01-18 03:00:00,49
412,2020-01-18 04:00:00,50
413,2020-01-18 05:00:00,53
414,2020-01-18 06:00:00,55
415,2020-01-18 07:00:00,56
416,2020-01-18 08:00:00,57
417,2020-01-18 09:00:00,58
418,2020-01-18 10:00:00,58
419,2020-01-18 11:00:00,58
420,2020-01-18 12:00:00,58
421,2020-01-18 13:00:00,57
422,2020-01-18 14:00:00,58
423,2020-01-18 15:00:00,59
424,2020-01-18 16:00:00,59
425,2020-01-18 17:00:00,59
426,2020-01-18 18:00:00,58
427,2020-01-18 19:00:00,57
428,2020-01-18 20:00:00,57
429,2020-01-18 21:00:00,56
430,2020-01-18 22:00:00,56
431,2020-01-18 23:00:00,55
432,2020-01-19 00:00:00,54
433,2020-01-19 01:00:00,53
434,2020-01-19 02:00:00,53
435,2020-01-19 03:00:00,53
436,2020-01-19 04:00:00,55
437,2020-01-19 05:00:00,56
438,2020-01-19 06:00:00,57
439,2020-01-19 07:00:00,58
440,2020-01-19 08:00:00,59
441,2020-01-19 09:00:00,59
442,2020-01-19 10:00:00,59
443,2020-01-19 11:00:00,59
444,2020-01-19 12:00:00,59
445,2020-01-19 13:00:00,59
446,2020-01-19 14:00:00,59
447,2020-01-19 15:00:00,60
448,2020-01-19 16:00:00,60
449,2020-01-19 17:00:00,60
450,2020-01-19 18:00:00,59
451,2020-01-19 19:00:00,59
452,2020-01-19 20:00:00,59
453,2020-01-19 21:00:00,59
454,2020-01-19 22:00:00,58
455,2020-01-19 23:00:00,56
456,2020-01-20 00:00:00,55
457,2020-01-20 01:00:00,56
458,2020-01-20 02:00:00,56
459,2020-01-20 03:00:00,58
460,2020-01-20 04:00:00,60
461,2020-01-20 05:00:00,62
462,2020-01-20 06:00:00,63
463,2020-01-20 07:00:00,63
464,2020-01-20 08:00:00,63
465,2020-01-20 09:00:00,63
466,2020-01-20 10:00:00,63
467,2020-01-20 11:00:00,63
468,2020-01-20 12:00:00,64
469,2020-01-20 13:00:00,64
470,2020-01-20 14:00:00,64
471,2020-01-20 15:00:00,64
472,2020-01-20 16:00:00,64
473,2020-01-20 17:00:00,64
474,2020-01-20 18:00:00,63
475,2020-01-20 19:00:00,63
476,2020-01-20 20:00:00,62
477,2020-01-20 21:00:00,60
478,2020-01-20 22:00:00,58
479,2020-01-20 23:00:00,57
480,2020-01-21 00:00:00,56
481,2020-01-21 01:00:00,57
482,2020-01-21 02:00:00,56
483,2020-01-21 03:00:00,57
484,2020-01-21 04:00:00,59
485,2020-01-21 05:00:00,61
486,2020-01-21 06:00:00,63
487,2020-01-21 07:00:00,64
488,2020-01-21 08:00:00,64
489,2020-01-21 09:00:00,63
490,2020-01-21 10:00:00,64
491,2020-01-21 11:00:00,64
492,2020-01-21 12:00:00,63
493,2020-01-21 13:00:00,63
494,2020-01-21 14:00:00,63
495,2020-01-21 15:00:00,64
496,2020-01-21 16:00:00,64
497,2020-01-21 17:00:00,64
498,2020-01-21 18:00:00,63
499,2020-01-21 19:00:00,63
500,2020-01-21 20:00:00,62
501,2020-01-21 21:00:00,60
502,2020-01-21 22:00:00,59
503,2020-01-21 23:00:00,57
504,2020-01-22 00:00:00,56
505,2020-01-22 01:00:00,56
506,2020-01-22 02:00:00,56
507,2020-01-22 03:00:00,57
508,2020-01-22 04:00:00,59
509,2020-01-22 05:00:00,62
510,2020-01-22 06:00:00,63
511,2020-01-22 07:00:00,63
512,2020-01-22 08:00:00,63
513,2020-01-22 09:00:00,63
514,2020-01-22 10:00:00,63
515,2020-01-22 11:00:00,63
516,2020-01-22 12:00:00,62
517,2020-01-22 13:00:00,62
518,2020-01-22 14:00:00,62
519,2020-01-22 15:00:00,62
520,2020-01-22 16:00:00,62
521,2020-01-22 17:00:00,62
522,2020-01-22 18:00:00,62
523,2020-01-22 19:00:00,62
524,2020-01-22 20:00:00,61
525,2020-01-22 21:00:00,60
526,2020-01-22 22:00:00,59
527,2020-01-22 23:00:00,57
528,2020-01-23 00:00:00,56
529,2020-01-23 01:00:00,55
530,2020-01-23 02:00:00,55
531,2020-01-23 03:00:00,56
532,2020-01-23 04:00:00,58
533,2020-01-23 05:00:00,61
534,2020-01-23 06:00:00,62
535,2020-01-23 07:00:00,63
536,2020-01-23 08:00:00,63
537,2020-01-23 09:00:00,63
538,2020-01-23 10:00:00,63
539,2020-01-23 11:00:00,64
540,2020-01-23 12:00:00,64
541,2020-01-23 13:00:00,64
542,2020-01-23 14:00:00,64
543,2020-01-23 15:00:00,64
544,2020-01-23 16:00:00,64
545,2020-01-23 17:00:00,64
546,2020-01-23 18:00:00,64
547,2020-01-23 19:00:00,63
548,2020-01-23 20:00:00,62
549,2020-01-23 21:00:00,61
550,2020-01-23 22:00:00,60
551,2020-01-23 23:00:00,58
552,2020-01-24 00:00:00,57
553,2020-01-24 01:00:00,56
554,2020-01-24 02:00:00,56
555,2020-01-24 03:00:00,57
556,2020-01-24 04:00:00,60
557,2020-01-24 05:00:00,62
558,2020-01-24 06:00:00,63
559,2020-01-24 07:00:00,63
560,2020-01-24 08:00:00,63
561,2020-01-24 09:00:00,63
562,2020-01-24 10:00:00,63
563,2020-01-24 11:00:00,63
564,2020-01-24 12:00:00,63
565,2020-01-24 13:00:00,63
566,2020-01-24 14:00:00,63
567,2020-01-24 15:00:00,63
568,2020-01-24 16:00:00,63
569,2020-01-24 17:00:00,63
570,2020-01-24 18:00:00,63
571,2020-01-24 19:00:00,63
572,2020-01-24 20:00:00,62
573,2020-01-24 21:00:00,61
574,2020-01-24 22:00:00,59
575,2020-01-24 23:00:00,58
