,startTime,percentRenewable
0,2020-01-01 00:00:00,13
1,2020-01-01 01:00:00,11
2,2020-01-01 02:00:00,10
3,2020-01-01 03:00:00,8
4,2020-01-01 04:00:00,8
5,2020-01-01 05:00:00,7
6,2020-01-01 06:00:00,7
7,2020-01-01 07:00:00,9
8,2020-01-01 08:00:00,10
9,2020-01-01 09:00:00,12
10,2020-01-01 10:00:00,13
11,2020-01-01 11:00:00,13
12,2020-01-01 12:00:00,13
13,2020-01-01 13:00:00,12
14,2020-01-01 14:00:00,10
15,2020-01-01 15:00:00,9
16,2020-01-01 16:00:00,9
17,2020-01-01 17:00:00,12
18,2020-01-01 18:00:00,12
19,2020-01-01 19:00:00,11
20,2020-01-01 20:00:00,8
21,2020-01-01 21:00:00,8
22,2020-01-01 22:00:00,10
23,2020-01-01 23:00:00,7
24,2020-01-02 00:00:00,7
25,2020-01-02 01:00:00,7
26,2020-01-02 02:00:00,8
27,2020-01-02 03:00:00,8
28,2020-01-02 04:00:00,9
29,2020-01-02 05:00:00,10
30,2020-01-02 06:00:00,11
31,2020-01-02 07:00:00,11
32,2020-01-02 08:00:00,13
33,2020-01-02 09:00:00,14
34,2020-01-02 10:00:00,15
35,2020-01-02 11:00:00,16
36,2020-01-02 12:00:00,16
37,2020-01-02 13:00:00,17
38,2020-01-02 14:00:00,21
39,2020-01-02 15:00:00,21
40,2020-01-02 16:00:00,23
41,2020-01-02 17:00:00,24
42,2020-01-02 18:00:00,26
43,2020-01-02 19:00:00,26
44,2020-01-02 20:00:00,25
45,2020-01-02 21:00:00,26
46,2020-01-02 22:00:00,27
47,2020-01-02 23:00:00,27
48,2020-01-03 00:00:00,27
49,2020-01-03 01:00:00,28
50,2020-01-03 02:00:00,28
51,2020-01-03 03:00:00,28
52,2020-01-03 04:00:00,28
53,2020-01-03 05:00:00,29
54,2020-01-03 06:00:00,27
55,2020-01-03 07:00:00,26
56,2020-01-03 08:00:00,26
57,2020-01-03 09:00:00,26
58,2020-01-03 10:00:00,26
59,2020-01-03 11:00:00,27
60,2020-01-03 12:00:00,28
61,2020-01-03 13:00:00,27
62,2020-01-03 14:00:00,26
63,2020-01-03 15:00:00,23
64,2020-01-03 16:00:00,23
65,2020-01-03 17:00:00,23
66,2020-01-03 18:00:00,20
67,2020-01-03 19:00:00,15
68,2020-01-03 20:00:00,15
69,2020-01-03 21:00:00,17
70,2020-01-03 22:00:00,16
71,2020-01-03 23:00:00,17
72,2020-01-04 00:00:00,19
73,2020-01-04 01:00:00,18
74,2020-01-04 02:00:00,19
75,2020-01-04 03:00:00,19
76,2020-01-04 04:00:00,22
77,2020-01-04 05:00:00,21
78,2020-01-04 06:00:00,22
79,2020-01-04 07:00:00,24
80,2020-01-04 08:00:00,25
81,2020-01-04 09:00:00,26
82,2020-01-04 10:00:00,27
83,2020-01-04 11:00:00,28
84,2020-01-04 12:00:00,27
85,2020-01-04 13:00:00,26
86,2020-01-04 14:00:00,22
87,2020-01-04 15:00:00,20
88,2020-01-04 16:00:00,18
89,2020-01-04 17:00:00,19
90,2020-01-04 18:00:00,20
91,2020-01-04 19:00:00,15
92,2020-01-04 20:00:00,10
93,2020-01-04 21:00:00,8
94,2020-01-04 22:00:00,7
95,2020-01-04 23:00:00,6
96,2020-01-05 00:00:00,7
97,2020-01-05 01:00:00,7
98,2020-01-05 02:00:00,7
99,2020-01-05 03:00:00,6
100,2020-01-05 04:00:00,6
101,2020-01-05 05:00:00,7
102,2020-01-05 06:00:00,9
103,2020-01-05 07:00:00,9
104,2020-01-05 08:00:00,9
105,2020-01-05 09:00:00,12
106,2020-01-05 10:00:00,14
107,2020-01-05 11:00:00,15
108,2020-01-05 12:00:00,14
109,2020-01-05 13:00:00,13
110,2020-01-05 14:00:00,12
111,2020-01-05 15:00:00,10
112,2020-01-05 16:00:00,11
113,2020-01-05 17:00:00,10
114,2020-01-05 18:00:00,11
115,2020-01-05 19:00:00,10
116,2020-01-05 20:00:00,10
117,2020-01-05 21:00:00,11
118,2020-01-05 22:00:00,12
119,2020-01-05 23:00:00,12
120,2020-01-06 00:00:00,12
121,2020-01-06 01:00:00,13
122,2020-01-06 02:00:00,14
123,2020-01-06 03:00:00,16
124,2020-01-06 04:00:00,17
125,2020-01-06 05:00:00,15
126,2020-01-06 06:00:00,14
127,2020-01-06 07:00:00,17
128,2020-01-06 08:00:00,19
129,2020-01-06 09:00:00,21
130,2020-01-06 10:00:00,24
131,2020-01-06 11:00:00,24
132,2020-01-06 12:00:00,23
133,2020-01-06 13:00:00,20
134,2020-01-06 14:00:00,17
135,2020-01-06 15:00:00,16
136,2020-01-06 16:00:00,22
137,2020-01-06 17:00:00,24
138,2020-01-06 18:00:00,22
139,2020-01-06 19:00:00,22
140,2020-01-06 20:00:00,23
141,2020-01-06 21:00:00,24
142,2020-01-06 22:00:00,21
143,2020-01-06 23:00:00,18
144,2020-01-07 00:00:00,19
145,2020-01-07 01:00:00,15
146,2020-01-07 02:00:00,13
147,2020-01-07 03:00:00,12
148,2020-01-07 04:00:00,11
149,2020-01-07 05:00:00,9
150,2020-01-07 06:00:00,7
151,2020-01-07 07:00:00,16
152,2020-01-07 08:00:00,18
153,2020-01-07 09:00:00,17
154,2020-01-07 10:00:00,16
155,2020-01-07 11:00:00,21
156,2020-01-07 12:00:00,21
157,2020-01-07 13:00:00,22
158,2020-01-07 14:00:00,20
159,2020-01-07 15:00:00,20
160,2020-01-07 16:00:00,23
161,2020-01-07 17:00:00,25
162,2020-01-07 18:00:00,25
163,2020-01-07 19:00:00,26
164,2020-01-07 20:00:00,27
165,2020-01-07 21:00:00,27
166,2020-01-07 22:00:00,27
167,2020-01-07 23:00:00,27
168,2020-01-08 00:00:00,27
169,2020-01-08 01:00:00,27
170,2020-01-08 02:00:00,27
171,2020-01-08 03:00:00,27
172,2020-01-08 04:00:00,26
173,2020-01-08 05:00:00,25
174,2020-01-08 06:00:00,23
175,2020-01-08 07:00:00,21
176,2020-01-08 08:00:00,21
177,2020-01-08 09:00:00,19
178,2020-01-08 10:00:00,18
179,2020-01-08 11:00:00,18
180,2020-01-08 12:00:00,15
181,2020-01-08 13:00:00,15
182,2020-01-08 14:00:00,11
183,2020-01-08 15:00:00,10
184,2020-01-08 16:00:00,14
185,2020-01-08 17:00:00,14
186,2020-01-08 18:00:00,14
187,2020-01-08 19:00:00,13
188,2020-01-08 20:00:00,7
189,2020-01-08 21:00:00,6
190,2020-01-08 22:00:00,6
191,2020-01-08 23:00:00,8
192,2020-01-09 00:00:00,13
193,2020-01-09 01:00:00,23
194,2020-01-09 02:00:00,24
195,2020-01-09 03:00:00,26
196,2020-01-09 04:00:00,26
197,2020-01-09 05:00:00,25
198,2020-01-09 06:00:00,27
199,2020-01-09 07:00:00,29
200,2020-01-09 08:00:00,26
201,2020-01-09 09:00:00,27
202,2020-01-09 10:00:00,27
203,2020-01-09 11:00:00,28
204,2020-01-09 12:00:00,27
205,2020-01-09 13:00:00,26
206,2020-01-09 14:00:00,24
207,2020-01-09 15:00:00,24
208,2020-01-09 16:00:00,28
209,2020-01-09 17:00:00,24
210,2020-01-09 18:00:00,24
211,2020-01-09 19:00:00,23
212,2020-01-09 20:00:00,23
213,2020-01-09 21:00:00,24
214,2020-01-09 22:00:00,21
215,2020-01-09 23:00:00,23
216,2020-01-10 00:00:00,21
217,2020-01-10 01:00:00,18
218,2020-01-10 02:00:00,16
219,2020-01-10 03:00:00,15
220,2020-01-10 04:00:00,17
221,2020-01-10 05:00:00,15
222,2020-01-10 06:00:00,17
223,2020-01-10 07:00:00,19
224,2020-01-10 08:00:00,21
225,2020-01-10 09:00:00,22
226,2020-01-10 10:00:00,20
227,2020-01-10 11:00:00,21
228,2020-01-10 12:00:00,19
229,2020-01-10 13:00:00,16
230,2020-01-10 14:00:00,14
231,2020-01-10 15:00:00,11
232,2020-01-10 16:00:00,11
233,2020-01-10 17:00:00,13
234,2020-01-10 18:00:00,11
235,2020-01-10 19:00:00,9
236,2020-01-10 20:00:00,7
237,2020-01-10 21:00:00,8
238,2020-01-10 22:00:00,10
239,2020-01-10 23:00:00,11
240,2020-01-11 00:00:00,15
241,2020-01-11 01:00:00,14
242,2020-01-11 02:00:00,16
243,2020-01-11 03:00:00,18
244,2020-01-11 04:00:00,19
245,2020-01-11 05:00:00,20
246,2020-01-11 06:00:00,21
247,2020-01-11 07:00:00,23
248,2020-01-11 08:00:00,23
249,2020-01-11 09:00:00,26
250,2020-01-11 10:00:00,29
251,2020-01-11 11:00:00,29
252,2020-01-11 12:00:00,30
253,2020-01-11 13:00:00,30
254,2020-01-11 14:00:00,28
255,2020-01-11 15:00:00,26
256,2020-01-11 16:00:00,28
257,2020-01-11 17:00:00,26
258,2020-01-11 18:00:00,28
259,2020-01-11 19:00:00,28
260,2020-01-11 20:00:00,29
261,2020-01-11 21:00:00,29
262,2020-01-11 22:00:00,29
263,2020-01-11 23:00:00,29
264,2020-01-12 00:00:00,29
265,2020-01-12 01:00:00,29
266,2020-01-12 02:00:00,28
267,2020-01-12 03:00:00,28
268,2020-01-12 04:00:00,28
269,2020-01-12 05:00:00,29
270,2020-01-12 06:00:00,29
271,2020-01-12 07:00:00,30
272,2020-01-12 08:00:00,30
273,2020-01-12 09:00:00,32
274,2020-01-12 10:00:00,32
275,2020-01-12 11:00:00,31
276,2020-01-12 12:00:00,31
277,2020-01-12 13:00:00,31
278,2020-01-12 14:00:00,30
279,2020-01-12 15:00:00,27
280,2020-01-12 16:00:00,24
281,2020-01-12 17:00:00,23
282,2020-01-12 18:00:00,24
283,2020-01-12 19:00:00,19
284,2020-01-12 20:00:00,17
285,2020-01-12 21:00:00,16
286,2020-01-12 22:00:00,16
287,2020-01-12 23:00:00,16
288,2020-01-13 00:00:00,16
289,2020-01-13 01:00:00,15
290,2020-01-13 02:00:00,17
291,2020-01-13 03:00:00,18
292,2020-01-13 04:00:00,18
293,2020-01-13 05:00:00,15
294,2020-01-13 06:00:00,19
295,2020-01-13 07:00:00,19
296,2020-01-13 08:00:00,18
297,2020-01-13 09:00:00,17
298,2020-01-13 10:00:00,21
299,2020-01-13 11:00:00,24
300,2020-01-13 12:00:00,24
301,2020-01-13 13:00:00,23
302,2020-01-13 14:00:00,22
303,2020-01-13 15:00:00,22
304,2020-01-13 16:00:00,24
305,2020-01-13 17:00:00,29
306,2020-01-13 18:00:00,26
307,2020-01-13 19:00:00,27
308,2020-01-13 20:00:00,30
309,2020-01-13 21:00:00,33
310,2020-01-13 22:00:00,34
311,2020-01-13 23:00:00,34
312,2020-01-14 00:00:00,34
313,2020-01-14 01:00:00,34
314,2020-01-14 02:00:00,33
315,2020-01-14 03:00:00,33
316,2020-01-14 04:00:00,33
317,2020-01-14 05:00:00,32
318,2020-01-14 06:00:00,30
319,2020-01-14 07:00:00,30
320,2020-01-14 08:00:00,31
321,2020-01-14 09:00:00,30
322,2020-01-14 10:00:00,30
323,2020-01-14 11:00:00,31
324,2020-01-14 12:00:00,32
325,2020-01-14 13:00:00,32
326,2020-01-14 14:00:00,34
327,2020-01-14 15:00:00,33
328,2020-01-14 16:00:00,37
329,2020-01-14 17:00:00,35
330,2020-01-14 18:00:00,35
331,2020-01-14 19:00:00,34
332,2020-01-14 20:00:00,34
333,2020-01-14 21:00:00,34
334,2020-01-14 22:00:00,35
335,2020-01-14 23:00:00,34
336,2020-01-15 00:00:00,34
337,2020-01-15 01:00:00,34
338,2020-01-15 02:00:00,34
339,2020-01-15 03:00:00,34
340,2020-01-15 04:00:00,34
341,2020-01-15 05:00:00,33
342,2020-01-15 06:00:00,30
343,2020-01-15 07:00:00,32
344,2020-01-15 08:00:00,29
345,2020-01-15 09:00:00,30
346,2020-01-15 10:00:00,32
347,2020-01-15 11:00:00,32
348,2020-01-15 12:00:00,28
349,2020-01-15 13:00:00,24
350,2020-01-15 14:00:00,19
351,2020-01-15 15:00:00,19
352,2020-01-15 16:00:00,20
353,2020-01-15 17:00:00,20
354,2020-01-15 18:00:00,21
355,2020-01-15 19:00:00,19
356,2020-01-15 20:00:00,19
357,2020-01-15 21:00:00,20
358,2020-01-15 22:00:00,20
359,2020-01-15 23:00:00,19
360,2020-01-16 00:00:00,17
361,2020-01-16 01:00:00,17
362,2020-01-16 02:00:00,14
363,2020-01-16 03:00:00,11
364,2020-01-16 04:00:00,10
365,2020-01-16 05:00:00,11
366,2020-01-16 06:00:00,15
367,2020-01-16 07:00:00,19
368,2020-01-16 08:00:00,20
369,2020-01-16 09:00:00,24
370,2020-01-16 10:00:00,26
371,2020-01-16 11:00:00,27
372,2020-01-16 12:00:00,27
373,2020-01-16 13:00:00,26
374,2020-01-16 14:00:00,23
375,2020-01-16 15:00:00,21
376,2020-01-16 16:00:00,23
377,2020-01-16 17:00:00,28
378,2020-01-16 18:00:00,24
379,2020-01-16 19:00:00,27
380,2020-01-16 20:00:00,28
381,2020-01-16 21:00:00,30
382,2020-01-16 22:00:00,30
383,2020-01-16 23:00:00,30
384,2020-01-17 00:00:00,29
385,2020-01-17 01:00:00,28
386,2020-01-17 02:00:00,29
387,2020-01-17 03:00:00,29
388,2020-01-17 04:00:00,27
389,2020-01-17 05:00:00,24
390,2020-01-17 06:00:00,21
391,2020-01-17 07:00:00,21
392,2020-01-17 08:00:00,23
393,2020-01-17 09:00:00,22
